Butt;James;New Orleans;6649 N Blue Gum St;70116;504-621-8927;jbutt@gmail.com;0
Darakjy;Josephine;Brighton;4 B Blue Ridge Blvd;48116;810-292-9388;josephine_darakjy@darakjy.org;0
Venere;Art;Bridgeport;8 W Cerritos Ave #54;8014;856-636-8749;art@venere.org;0
Paprocki;Lenna;Anchorage;639 Main St;99501;907-385-4412;lpaprocki@hotmail.com;0
Foller;Donette;Hamilton;34 Center St;45011;513-570-1893;donette.foller@cox.net;0
Morasca;Simona;Ashland;3 Mcauley Dr;44805;419-503-2484;simona@morasca.com;0
Tollner;Mitsue;Chicago;7 Eads St;60632;773-573-6914;mitsue_tollner@yahoo.com;0
Dilliard;Leota;San Jose;7 W Jackson Blvd;95111;408-752-3500;leota@hotmail.com;0
Wieser;Sage;Sioux Falls;5 Boston Ave #88;57105;605-414-2147;sage_wieser@cox.net;0
Marrier;Kris;Baltimore;228 Runamuck Pl #2808;21224;410-655-8723;kris@gmail.com;0
Amigon;Minna;Kulpsville;2371 Jerrold Ave;19443;215-874-1229;minna_amigon@yahoo.com;0
Maclead;Abel;Middle Island;37275 St  Rt 17m M;11953;631-335-3414;amaclead@gmail.com;0
Caldarera;Kiley;Los Angeles;25 E 75th St #69;90034;310-498-5651;kiley.caldarera@aol.com;0
Ruta;Graciela;Chagrin Falls;98 Connecticut Ave Nw;44023;440-780-8425;gruta@cox.net;0
Albares;Cammy;Laredo;56 E Morehead St;78045;956-537-6195;calbares@gmail.com;0
Poquette;Mattie;Phoenix;73 State Road 434 E;85013;602-277-4385;mattie@aol.com;0
Garufi;Meaghan;Mc Minnville;69734 E Carrillo St;37110;931-313-9635;meaghan@hotmail.com;0
Rim;Gladys;Milwaukee;322 New Horizon Blvd;53207;414-661-9598;gladys.rim@rim.org;0
Whobrey;Yuki;Taylor;1 State Route 27;48180;313-288-7937;yuki_whobrey@aol.com;0
Flosi;Fletcher;Rockford;394 Manchester Blvd;61109;815-828-2147;fletcher.flosi@yahoo.com;0
Nicka;Bette;Aston;6 S 33rd St;19014;610-545-3615;bette_nicka@cox.net;0
Inouye;Veronika;San Jose;6 Greenleaf Ave;95111;408-540-1785;vinouye@aol.com;0
Kolmetz;Willard;Irving;618 W Yakima Ave;75062;972-303-9197;willard@hotmail.com;0
Royster;Maryann;Albany;74 S Westgate St;12204;518-966-7987;mroyster@royster.com;0
Slusarski;Alisha;Middlesex;3273 State St;8846;732-658-3154;alisha@slusarski.com;0
Iturbide;Allene;Stevens Point;1 Central Ave;54481;715-662-6764;allene_iturbide@cox.net;0
Caudy;Chanel;Shawnee;86 Nw 66th St #8673;66218;913-388-2079;chanel.caudy@caudy.org;0
Chui;Ezekiel;Easton;2 Cedar Ave #84;21601;410-669-1642;ezekiel@chui.com;0
Kusko;Willow;New York;90991 Thorburn Ave;10011;212-582-4976;wkusko@yahoo.com;0
Figeroa;Bernardo;Conroe;386 9th Ave N;77301;936-336-3951;bfigeroa@aol.com;0
Corrio;Ammie;Columbus;74874 Atlantic Ave;43215;614-801-9788;ammie@corrio.com;0
Vocelka;Francine;Las Cruces;366 South Dr;88011;505-977-3911;francine_vocelka@vocelka.com;0
Stenseth;Ernie;Ridgefield Park;45 E Liberty St;7660;201-709-6245;ernie_stenseth@aol.com;0
Glick;Albina;Dunellen;4 Ralph Ct;8812;732-924-7882;albina@glick.com;0
Sergi;Alishia;New York;2742 Distribution Way;10025;212-860-1579;asergi@gmail.com;0
Shinko;Solange;Metairie;426 Wolf St;70002;504-979-9175;solange@shinko.com;0
